Name,UniqueName,Sum,E02009,E02702,E00083,E01370,E25817,E04779,E01987,E03674,E21606,E00095,E31425,E01824,E05149,E02989,E00474,E01929,E04749,E03041,E01366,E03496,E00619,E05033,E01118,E01780,E01662,E05302,E01619,E02352,E01726,E31723,E00179,E24562,E05477,E02062,E26966,E01848,E00248,E30504,E02761,E04583,E31331,E02409,E02334,E02116,E05073,E01551,E00076,E00233,E22042,E02076,E04025,E05221,E04560,E00745,E04826,E02541,E02439,E05489,E02287,E02865,E02522,E00871,E26124,E00173,E02940,E05055,E01913,E00133,E05379,E05543,E00635,E00644,E02912,E03953,E02587,E02175,E04340,E00891,E00935,E01197,E00397,E03517,E02742,E00547,E02354,E02190,E02699,E05445,E00909,E00149,E04125,E00882,E05736,E05147,E04368,E01490,E31248,E02442,E02459
netassets,net_assets,21933,205,86,217,308,160,154,185,396,282,386,30,412,229,219,219,303,352,210,204,156,230,246,330,119,222,127,190,272,326,172,185,203,501,338,242,113,150,78,308,334,63,197,188,260,262,228,231,198,199,193,201,174,267,189,327,234,257,13,426,191,171,192,204,201,204,246,189,345,268,138,203,178,204,264,182,194,190,218,285,268,479,170,314,185,185,181,176,60,170,234,206,165,182,311,8,210,68,340,248
netsales,net_sales,10168,134,31,150,126,113,,168,,32,146,7,76,132,54,30,192,,,134,119,150,179,144,10,134,126,102,42,150,53,150,88,60,42,157,76,136,15,118,,9,150,38,118,118,140,92,150,94,124,144,169,188,150,200,118,35,18,240,91,166,102,96,118,38,152,148,130,194,141,102,150,118,150,166,134,102,166,114,42,237,28,64,116,42,118,118,28,118,124,,106,38,122,10,102,10,132,164
operatingincome,operating_income,8718,126,11,128,112,108,103,91,,46,133,7,59,118,41,22,194,54,165,76,106,38,187,151,,134,71,84,42,143,45,134,25,34,30,148,52,88,15,42,178,9,118,25,99,96,35,101,70,90,125,141,136,102,125,198,116,22,4,210,93,38,61,93,86,38,150,118,117,186,43,90,93,98,144,106,134,67,181,114,25,194,28,64,86,42,115,49,2,118,105,153,70,31,84,,93,10,109,127
revenuesfromexternalcustomers,net_sales,7111,96,,112,84,80,76,108,96,,100,,30,94,,,144,,112,96,81,112,141,102,,96,84,64,,108,42,112,55,,,120,48,98,,76,140,,112,,80,76,102,64,112,56,96,106,131,150,109,154,80,,,168,56,128,64,62,80,,38,108,88,146,103,64,112,80,108,128,96,64,128,72,,191,,,78,,80,80,,80,96,112,68,,80,,16,,90,112
assets,total_asset,5816,62,34,38,84,33,30,84,92,46,86,8,62,72,33,30,90,54,66,66,59,66,86,66,10,66,62,54,42,84,12,70,52,60,42,78,38,70,16,70,92,12,70,38,62,81,62,38,70,58,66,63,72,90,72,94,62,35,18,128,58,71,54,49,62,38,86,64,42,88,65,54,66,58,78,74,62,58,70,72,42,135,28,64,60,42,58,62,28,58,62,70,62,38,42,10,54,12,72,92
totalchangesofitemsduringtheperiod,,5635,56,4,56,79,55,31,70,114,58,122,11,136,92,35,36,93,50,55,41,43,51,66,113,24,58,8,32,79,96,56,54,51,45,80,88,17,30,25,112,87,24,49,48,78,66,64,60,33,70,56,53,65,59,52,125,60,43,,64,47,51,61,73,50,56,78,61,76,102,16,40,28,50,91,52,55,61,57,73,62,77,43,79,34,47,45,52,15,35,62,55,42,55,60,,52,22,118,24
netincome,net_income,5498,60,9,56,74,42,52,37,74,96,65,11,75,78,83,52,76,112,60,34,57,54,78,76,19,60,24,34,80,60,37,58,7,66,90,89,30,50,27,78,86,27,58,43,65,81,118,57,28,62,54,60,60,54,59,82,48,46,4,62,62,56,34,56,50,60,75,58,79,77,21,58,25,52,78,40,54,55,59,78,29,111,50,104,27,64,60,44,5,56,52,60,43,49,51,,58,22,74,38
numberofsharesheld,,4854,44,33,44,44,44,44,55,44,66,66,22,66,55,66,70,66,88,44,44,44,44,55,55,44,44,46,44,55,55,22,44,44,89,66,66,33,49,44,55,55,33,44,44,55,44,44,44,44,45,44,44,44,55,55,66,44,55,,77,44,44,44,44,44,47,55,55,66,66,44,44,44,44,55,44,44,44,44,55,55,77,59,44,44,44,44,44,44,44,44,44,44,44,55,,44,38,55,77
capitalstock,capital_stock,4101,42,38,42,46,36,34,46,52,50,50,8,50,40,33,31,52,58,42,42,42,42,40,46,12,42,46,42,46,46,12,42,40,64,44,40,32,42,16,46,48,12,42,42,40,46,42,42,42,42,42,42,42,40,48,50,42,38,22,80,42,42,42,38,42,42,46,44,44,52,42,42,42,42,46,42,42,42,42,46,46,48,29,72,42,46,42,42,30,42,42,42,42,42,46,12,42,12,46,56
shareholdersequity,shareholder_equity,4043,42,38,42,46,36,34,46,52,50,50,8,50,40,33,31,52,58,42,42,42,42,40,46,12,42,46,42,46,46,12,42,37,64,44,40,32,42,16,46,48,12,42,42,40,46,42,42,42,42,42,42,42,40,48,50,42,38,13,80,42,42,42,38,42,42,46,44,44,52,42,42,42,42,46,42,42,42,42,46,46,48,29,72,,46,42,42,30,42,42,42,42,42,46,8,42,12,46,56
liabilities,liabilities,4042,38,34,38,42,33,30,84,92,46,46,8,46,38,39,30,48,54,38,38,59,38,38,42,10,38,42,38,42,84,12,38,36,60,42,38,28,38,16,70,44,12,38,38,38,42,62,38,70,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,74,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,54,12,42,52
capitalsurplus,capital_surplus,4041,42,38,42,46,36,34,33,52,50,48,6,50,40,33,31,52,58,42,42,42,42,40,46,12,42,46,42,45,46,12,42,40,64,44,36,32,42,16,46,48,7,40,42,40,46,42,42,42,42,42,42,42,40,48,50,42,38,10,80,42,40,42,38,42,42,46,44,44,52,42,42,42,42,46,40,40,36,42,46,46,48,29,72,42,46,40,42,30,40,42,42,40,42,46,12,42,11,46,56
transactionswithothersegments,,4040,71,,70,53,18,37,104,80,,62,,,22,,,120,,81,53,49,96,120,36,,74,19,63,,90,,96,55,,,79,,80,,76,120,,96,,60,51,102,48,6,42,65,90,2,130,,132,64,,,32,42,33,64,5,36,,17,,44,,32,32,96,64,,64,96,34,112,36,,55,,,50,,,64,,48,76,96,52,,,,12,,36,
netassetssummaryofbusinessresults,net_assets,4035,38,29,38,42,33,29,48,52,58,58,13,58,49,40,40,57,78,38,38,38,38,49,48,10,38,38,38,45,48,21,38,36,75,57,55,25,35,25,48,51,21,38,38,49,42,38,38,38,35,38,38,38,49,41,54,38,42,,70,35,38,38,38,38,38,48,41,59,57,38,38,38,38,48,38,38,38,38,48,48,67,35,42,38,38,38,38,28,38,38,38,38,38,50,,38,20,48,50
totalassetssummaryofbusinessresults,total_asset,4035,38,29,38,42,33,29,48,52,58,58,13,58,49,40,40,57,78,38,38,38,38,49,48,10,38,38,38,45,48,21,38,36,75,57,55,25,35,25,48,51,21,38,38,49,42,38,38,38,35,38,38,38,49,41,54,38,42,,70,35,38,38,38,38,38,48,41,59,57,38,38,38,38,48,38,38,38,38,48,48,67,35,42,38,38,38,38,28,38,38,38,38,38,50,,38,20,48,50
incomebeforeincometaxes,,3933,46,7,42,42,34,38,30,48,58,43,11,45,58,43,36,58,78,42,18,45,51,58,50,5,46,20,34,52,60,15,43,3,39,54,45,20,33,23,128,64,13,42,30,42,50,45,45,26,46,37,46,44,22,49,58,38,31,4,69,46,46,23,42,38,46,52,50,43,59,15,42,15,41,52,21,52,35,46,52,17,58,38,72,23,50,46,23,3,46,41,46,30,35,41,,44,17,44,41
liabilitiesandnetassets,liabilities_netassets,3745,38,34,38,42,33,30,42,44,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,12,42,52
retainedearnings,,3714,42,,42,46,36,34,29,52,50,48,8,50,40,26,31,52,56,42,42,42,42,40,46,12,42,,42,46,46,12,42,19,47,44,40,32,42,16,46,48,12,40,42,40,46,42,42,42,42,42,42,21,40,38,50,42,38,1,80,42,40,42,38,42,42,44,44,44,52,,42,29,41,46,28,40,42,42,46,46,48,29,72,,46,33,32,,40,42,42,40,42,46,,42,12,46,56
propertyplantandequipment,,3711,38,34,38,42,33,30,42,44,32,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,9,72,38,38,38,34,38,38,42,40,42,48,37,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,28,38,38,42,10,38,12,42,52
cashanddeposits,,3701,38,34,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,12,42,52
currentliabilities,current_liabilities,3701,38,34,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,12,42,52
currentassets,current_assets,3701,38,34,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,12,42,52
netsalessummaryofbusinessresults,net_sales,3701,38,29,38,42,33,,48,,38,58,13,58,49,45,40,57,,,38,38,38,49,48,10,38,38,38,45,48,21,38,34,75,57,55,25,35,25,48,,21,38,38,49,42,38,38,38,35,28,38,38,49,41,54,38,42,,70,32,38,38,38,38,38,48,41,59,57,38,38,38,38,48,38,38,38,38,48,48,59,35,42,38,38,38,38,28,38,28,,38,38,50,,38,20,48,50
noncurrentassets,,3701,38,34,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,12,42,52
investmentsandotherassets,,3697,38,34,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,38,16,42,44,12,38,36,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,26,38,38,38,38,38,42,10,38,12,42,52
nonoperatingincome,,3690,38,31,38,42,33,30,42,,46,46,7,46,38,32,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,11,38,36,60,42,37,28,38,15,42,44,9,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,10,42,52
sellinggeneralandadministrativeexpenses,,3677,38,31,38,42,33,38,42,,32,46,7,46,38,32,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,11,38,36,60,42,37,28,38,15,42,44,9,38,38,38,42,38,38,38,38,30,38,38,38,44,46,38,35,18,72,35,38,38,34,38,42,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,32,38,38,42,10,38,10,48,52
intangibleassets,,3665,38,34,38,42,33,30,23,44,32,46,6,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,13,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,64,38,38,38,34,38,38,41,40,42,48,37,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,28,38,38,42,10,38,12,42,52
otherca,,3663,38,18,38,42,33,30,42,,46,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,42,38,28,35,16,42,44,12,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,42,40,42,48,38,38,38,38,42,28,38,38,38,42,42,46,28,64,38,42,38,38,28,38,38,38,38,38,42,10,38,3,42,52
nonoperatingexpenses,,3629,38,31,38,42,33,30,42,,37,46,7,46,38,32,30,48,54,38,38,37,38,38,42,10,38,42,38,42,42,11,38,36,60,21,37,28,38,15,42,44,6,38,38,38,42,38,38,38,38,38,38,38,38,44,46,38,35,18,72,38,38,38,34,38,38,22,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,25,38,38,38,38,38,42,10,38,6,42,52
noncurrentliabilities,,3628,38,34,38,42,33,30,42,,32,46,8,46,38,31,30,48,54,38,38,38,38,38,42,10,38,42,38,42,42,12,38,36,60,36,38,28,38,16,42,44,12,38,38,38,42,38,38,38,38,38,38,26,38,44,46,38,35,12,72,38,38,38,34,38,38,42,40,42,48,32,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,13,38,38,38,38,36,42,10,38,,42,52
incometaxespayable,,3591,38,33,38,42,33,26,42,16,33,46,8,46,38,31,17,48,49,38,38,36,38,38,42,3,38,42,36,42,42,12,38,9,60,42,38,27,38,16,42,41,12,38,34,38,42,38,38,36,38,36,37,38,38,44,46,38,18,18,72,38,38,38,34,38,38,42,36,42,47,38,38,38,38,42,33,38,38,38,42,42,42,28,64,38,42,38,38,27,38,38,38,38,38,42,4,37,12,42,52
ordinaryincomelosssummaryofbusinessresults,ordinery_imcome,3484,38,8,34,37,31,29,22,52,58,54,13,44,49,43,35,57,78,38,20,38,38,49,46,3,38,21,30,45,48,21,36,10,44,46,52,19,22,25,48,51,21,34,28,45,42,37,38,28,35,33,38,35,32,37,54,36,24,,58,35,38,25,38,34,38,47,41,43,57,12,36,25,37,48,24,37,30,38,48,25,65,35,42,18,38,38,22,2,38,34,38,31,35,44,,36,18,44,25
othercl,,3474,38,18,38,42,26,30,40,,45,46,6,46,38,31,30,48,41,38,38,38,38,28,40,7,38,39,38,38,42,12,38,36,60,42,30,28,28,16,42,44,11,38,38,38,42,38,38,38,38,28,38,35,38,44,46,28,35,4,72,38,38,38,34,38,38,42,39,36,40,29,38,38,38,40,28,38,30,38,42,42,46,18,64,38,30,38,38,20,28,35,38,33,38,37,10,38,1,42,52
grossprofit,,3472,38,31,38,42,33,,42,,32,46,7,46,38,32,30,48,,,38,38,38,38,42,10,38,42,38,42,42,11,38,33,60,42,37,28,37,15,42,44,9,38,38,38,42,38,28,38,38,28,38,38,38,43,46,38,35,16,72,36,38,38,34,38,38,42,40,42,48,38,38,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,38,28,38,28,,38,38,42,9,38,6,42,52
interestexpensesnoe,,3460,38,31,38,42,33,,34,,31,46,7,46,,32,11,48,54,28,38,29,63,38,42,10,37,42,38,42,42,11,38,36,60,,37,,38,15,70,44,,38,38,38,42,62,38,38,37,38,38,22,38,44,46,38,35,18,72,38,67,38,30,18,38,11,40,42,48,38,26,38,38,42,38,38,38,38,42,42,46,28,64,38,42,38,35,,38,38,38,38,36,42,10,38,,42,52
ordinaryincome,ordinery_imcome,3439,38,11,34,37,30,30,19,139,46,40,7,37,38,30,25,48,54,38,15,37,138,38,41,3,38,27,26,42,42,11,35,10,34,35,33,21,23,15,42,44,9,34,25,35,42,36,37,22,38,31,38,35,18,39,46,35,22,4,60,38,162,26,34,32,38,41,38,32,48,9,36,22,37,42,19,37,28,38,42,21,44,28,64,15,42,38,18,2,38,29,38,30,31,34,,36,10,36,29
interestincomenoi,,3379,38,31,38,36,28,,42,,46,46,7,46,1,14,30,48,54,34,38,38,59,38,42,6,38,42,38,36,36,11,38,32,60,42,33,26,38,14,70,42,9,20,6,38,24,62,38,10,34,38,38,26,38,44,46,38,10,18,40,38,70,34,34,38,38,42,40,42,48,38,38,34,38,42,20,34,20,38,40,42,40,28,64,38,42,38,22,28,38,38,38,20,26,36,10,34,10,36,52
incometaxes,,3356,38,31,34,33,30,30,32,44,46,44,7,42,38,29,24,44,52,34,38,36,30,38,42,5,38,38,38,40,42,11,35,19,46,34,33,19,23,15,42,43,9,36,25,38,42,34,37,23,38,13,38,31,24,43,45,36,35,12,68,38,38,30,34,36,38,38,32,35,47,28,35,28,33,42,30,34,31,35,42,39,36,28,64,38,42,38,38,28,31,31,38,28,34,31,9,36,10,37,52
costofsales,,3330,38,31,38,42,33,,42,,32,46,7,46,38,32,30,42,,,28,38,32,38,42,10,38,42,38,42,42,11,38,32,60,42,37,28,38,11,42,,9,30,38,38,42,38,28,38,38,28,38,38,38,41,46,38,35,18,72,35,28,38,34,38,32,42,40,42,48,28,32,38,38,42,38,38,38,38,42,42,46,28,52,38,34,38,32,18,38,28,,38,38,42,10,38,10,42,52
otherioa,,3254,38,4,38,42,15,30,42,,32,46,1,46,28,20,30,48,54,38,38,38,38,38,42,10,38,38,38,24,42,12,38,36,39,42,20,28,38,,42,44,1,20,26,38,36,38,38,38,38,38,38,30,38,44,46,38,21,15,68,38,38,38,34,38,28,41,40,42,48,28,38,38,28,42,28,20,38,38,42,42,46,28,36,38,42,38,24,10,20,38,38,38,38,24,10,38,8,41,8
extraordinaryloss,extraordinary_loss,3193,38,30,38,20,12,23,40,84,34,46,,46,25,12,30,48,48,38,38,34,38,34,42,10,,36,38,38,42,4,38,29,46,20,11,28,38,,70,37,6,38,37,38,39,62,38,31,38,14,38,11,38,21,46,12,16,11,68,37,31,38,32,38,37,38,40,42,41,19,38,38,50,41,28,27,38,38,42,42,46,28,47,11,39,38,19,15,30,38,38,38,18,23,10,10,5,42,38
incometaxescurrent,,3165,38,16,38,20,33,18,42,44,28,46,7,43,38,32,12,48,54,38,38,20,38,20,42,4,38,42,38,42,24,8,20,36,60,24,37,28,34,15,42,44,9,38,38,20,42,38,38,20,38,34,38,38,19,44,43,38,29,18,40,38,38,20,34,20,20,41,11,24,23,20,38,10,33,42,20,38,38,38,24,24,28,28,64,38,42,38,38,28,37,31,38,38,38,42,8,20,10,42,52
cashandcashequivalents,,3143,28,24,28,32,27,36,32,28,36,36,8,36,53,44,33,36,68,28,28,28,52,53,32,,28,30,28,32,56,8,28,28,46,57,31,20,28,16,32,60,8,28,28,29,32,28,28,28,28,28,28,28,29,36,36,28,29,12,52,28,28,28,26,28,28,32,48,33,36,28,28,28,28,32,28,52,28,28,32,32,37,29,48,52,30,28,28,28,28,52,28,28,28,32,5,28,14,32,52
otherncl,,3008,28,18,38,42,21,30,30,,32,46,1,46,32,,,48,44,38,38,28,38,28,42,3,38,10,38,36,42,12,38,36,34,5,38,18,28,,41,42,,38,6,38,42,38,38,38,32,28,37,3,38,43,40,30,25,,62,34,38,28,34,38,36,32,30,30,48,27,38,38,37,30,38,38,38,36,42,42,32,28,44,30,30,28,38,,38,38,38,38,18,30,9,28,,42,44
land,,3005,38,16,38,42,,30,42,20,32,46,,46,,,30,48,54,20,38,38,38,38,42,10,38,,20,42,42,12,38,36,40,24,38,28,38,16,42,44,,38,,38,42,20,38,38,38,38,38,,38,10,46,38,17,,64,38,20,38,16,38,38,1,40,42,48,20,38,38,38,42,38,20,38,38,24,42,46,28,64,38,42,38,20,,38,20,28,38,,24,9,38,,42,52
