Name,UniqueName,Sum,E02009,E02702,E00083,E01370,E25817,E04779,E01987,E03674,E21606,E00095,E31425,E01824,E05149,E02989,E00474,E01929,E04749,E03041,E01366,E03496,E00619,E05033,E01118,E01780,E01662,E05302,E01619,E02352,E01726,E31723,E00179,E24562,E05477,E02062,E26966,E01848,E00248,E30504,E02761,E04583,E31331,E02409,E02334,E02116,E05073,E01551,E00076,E00233,E22042,E02076,E04025,E05221,E04560,E00745,E04826,E02541,E02439,E05489,E02287,E02865,E02522,E00871,E26124,E00173,E02940,E05055,E01913,E00133,E05379,E05543,E00635,E00644,E02912,E03953,E02587,E02175,E04340,E00891,E00935,E01197,E00397,E03517,E02742,E00547,E02354,E02190,E02699,E05445,E00909,E00149,E04125,E00882,E05736,E05147,E04368,E01490,E31248,E02442,E02459
investmentsecurities,,2951,38,,38,42,10,30,42,,14,46,,46,33,9,30,48,28,20,38,6,38,38,42,10,38,32,38,24,42,8,20,36,40,42,20,28,38,,42,44,,20,20,38,42,20,38,38,20,20,38,37,38,2,46,20,17,18,68,38,34,38,16,38,38,42,40,42,24,2,38,38,38,42,38,20,38,38,42,42,46,10,64,38,42,38,30,2,20,38,38,38,33,24,4,20,,42,20
othernoi,,2937,38,,38,36,33,28,42,,41,46,7,46,38,18,30,48,54,34,38,38,18,38,,10,28,36,28,,42,11,18,36,60,,37,28,38,,42,44,7,34,38,38,28,38,18,28,38,,28,36,38,44,46,28,25,5,72,38,,38,34,28,38,42,30,18,48,1,38,34,36,42,28,38,,38,42,42,6,28,64,38,30,22,38,28,38,38,,38,38,,10,38,,42,32
valuationdifferenceonavailableforsalesecurities,,2916,19,,42,30,,34,26,34,34,50,,50,23,,29,52,,42,42,4,36,36,36,12,35,8,42,36,44,12,28,32,64,18,,32,9,,46,48,,28,8,7,36,34,42,42,42,42,19,19,26,,44,36,38,,80,42,36,15,28,42,42,32,44,44,47,,33,42,22,2,27,42,32,42,46,46,44,25,40,28,31,13,42,1,32,42,42,42,26,46,,32,,46,50
netchangesofitemsotherthanshareholdersequity,,2891,32,,27,44,21,10,18,53,8,66,,70,39,12,26,55,22,35,28,20,33,26,68,12,33,2,27,39,56,24,31,35,51,46,,9,20,,52,40,,33,27,49,37,32,26,30,29,28,24,29,34,25,59,39,32,,58,27,35,29,29,28,33,36,34,55,35,6,17,19,28,22,29,33,33,35,31,19,60,18,43,22,27,18,30,,15,42,31,29,18,23,,32,,65,24
dividendsincomenoi,,2839,38,3,38,36,10,,,,32,46,,46,9,,,48,13,34,38,,34,38,42,6,38,,38,36,36,9,38,29,52,39,8,26,38,4,42,42,,34,,38,24,38,38,10,34,38,38,,38,2,46,38,23,2,72,38,38,34,34,38,38,2,40,42,48,27,38,34,37,42,38,34,20,38,40,42,40,27,64,38,42,38,30,1,38,38,38,38,,36,8,34,,36,52
othernoe,,2810,38,,38,36,33,30,23,,34,46,3,46,38,18,30,48,54,34,38,31,18,32,,10,28,42,28,,42,11,17,36,52,,37,28,34,,42,44,,38,38,38,37,38,18,28,33,,28,38,38,44,46,28,17,3,72,24,,38,34,28,38,15,30,18,48,,38,34,36,42,28,38,,38,42,42,6,28,64,38,30,22,38,3,38,38,,38,33,,10,38,,42,32
valuationandtranslationadjustments,,2780,26,,42,29,23,25,26,42,16,50,,23,25,,22,52,,42,42,7,34,18,46,12,33,8,40,36,37,12,4,38,64,22,,25,1,,46,48,,20,28,21,36,25,36,25,39,42,19,17,26,27,44,40,38,,80,42,24,21,28,42,37,32,30,44,24,24,16,42,22,10,42,30,25,42,46,38,44,25,40,42,29,25,8,1,32,39,42,37,26,44,,22,,34,50
extraordinaryincome,extraordinary_income,2768,31,6,36,15,19,14,40,51,30,46,,46,5,19,11,48,54,34,35,33,38,37,31,10,6,30,35,9,42,,38,29,33,21,,28,38,,63,30,,38,32,38,24,57,38,25,36,22,34,17,38,32,46,31,14,12,72,29,30,38,21,36,30,26,40,40,42,19,36,38,31,17,21,27,33,35,33,41,45,17,64,9,14,18,26,1,16,38,35,22,5,15,9,4,3,35,32
netincomelosssummaryofbusinessresults,net_incomeloss,2757,29,4,25,29,19,29,20,37,49,37,13,30,46,43,33,36,69,29,15,28,27,46,35,7,29,11,15,39,34,18,28,4,36,44,52,12,23,23,39,51,19,34,22,40,37,29,27,18,29,24,29,29,28,31,45,21,27,,30,29,29,15,29,21,29,36,29,40,38,9,27,12,25,39,15,27,26,28,39,12,61,35,39,13,29,29,18,2,29,26,29,22,22,27,,27,18,37,28
shorttermloanspayable,,2721,38,4,38,42,12,30,15,,,46,,46,,13,7,36,54,38,38,5,38,17,42,10,8,42,38,42,42,5,38,34,60,,38,,38,6,9,32,,38,34,33,42,38,38,38,14,32,38,,38,40,46,38,35,15,72,22,38,34,7,14,38,1,39,,37,12,21,38,7,42,38,35,38,38,42,42,46,28,46,38,,38,28,,38,38,38,38,,,10,28,,42,52
deferredtaxassetsca,,2635,38,4,7,19,33,30,16,,26,34,2,17,38,26,30,48,36,20,10,38,38,38,24,10,20,27,38,42,42,8,20,17,54,28,20,28,32,16,24,24,12,20,20,35,42,20,38,38,20,10,38,29,20,39,46,11,,,64,36,38,37,34,38,38,42,39,42,24,5,38,18,38,42,38,20,20,38,24,24,46,10,64,,42,37,,,36,20,38,10,38,24,,17,12,42,2
longtermloanspayable,,2603,38,,38,42,33,30,,,12,1,2,46,,31,12,45,54,38,37,28,38,27,42,10,36,42,38,42,28,5,38,36,34,,38,,38,16,,32,,38,32,38,42,38,10,28,,38,38,,38,43,46,38,35,,56,22,38,38,13,,38,1,40,,48,28,11,38,38,42,38,38,38,38,,42,46,1,4,38,,38,,,38,38,38,38,28,,8,38,,42,34
provisionforbonuses,,2565,38,,20,42,2,,42,44,46,46,2,46,1,26,30,48,36,38,38,38,38,28,42,,38,13,38,,,2,38,,18,42,35,28,38,16,42,44,12,24,22,4,42,2,,38,38,38,38,21,38,9,46,38,2,2,50,,38,38,34,24,38,,40,6,36,38,38,,1,42,36,38,38,,42,42,32,28,64,38,42,,,10,20,,28,38,37,,10,38,12,,52
incomebeforeminorityinterests,,2428,32,3,29,35,18,27,27,29,39,26,,31,25,25,,35,47,31,13,28,31,25,35,,31,11,12,37,31,10,28,5,,41,40,15,27,,35,49,4,41,19,33,39,20,30,11,33,28,31,31,15,40,43,29,31,3,46,33,30,11,30,27,31,35,29,40,33,2,31,13,29,35,11,31,23,31,35,6,45,,54,9,32,31,14,,31,20,31,23,19,23,,31,,29,
numberofemployees,number_of_employees,2330,20,17,20,30,15,23,30,40,40,40,5,40,28,23,19,30,60,20,20,20,20,28,30,20,20,20,20,30,30,16,20,18,54,36,37,10,20,10,30,30,11,20,20,28,30,20,20,20,20,20,20,20,28,20,30,20,24,,40,20,20,20,20,20,20,30,20,38,30,20,20,20,20,30,20,20,20,20,30,30,46,14,30,20,20,20,20,10,20,20,20,20,20,32,,20,10,30,20
depreciationsegmentinformation,,2132,24,,28,42,,,30,48,,40,,12,34,16,,36,,28,28,21,28,42,24,,24,20,16,,42,24,28,16,,,40,10,32,,28,48,,32,,24,35,24,20,28,16,28,25,30,52,24,48,20,,,56,20,32,16,15,20,,33,24,40,34,27,16,28,20,36,36,24,20,32,24,,90,,,22,,20,20,,20,28,28,24,,26,,16,,30,40
comprehensiveincomesummaryofbusinessresults,,2106,27,,25,22,13,18,22,28,36,27,,26,33,15,,41,44,27,19,25,27,33,30,,27,5,20,28,31,11,24,7,22,23,28,14,18,,31,31,4,25,19,25,25,23,27,21,24,25,27,14,23,29,37,24,18,,24,24,27,10,27,23,27,32,29,29,38,2,25,11,19,31,14,27,18,27,31,12,39,,25,14,27,27,15,,27,26,27,23,19,28,,27,,27,
otheria,,2001,38,,10,42,29,30,2,20,30,14,,46,34,2,,22,36,20,,31,38,38,31,10,9,14,10,12,40,12,,33,20,,,,28,,24,44,11,38,24,10,18,38,10,10,38,30,37,34,28,44,46,20,4,18,10,36,10,38,16,22,29,30,40,,48,8,28,38,28,,26,38,28,38,12,6,46,10,8,10,12,28,10,10,10,10,,10,23,28,10,,,12,8
comprehensiveincome,,1982,27,3,23,25,15,19,19,23,31,21,,23,27,14,,33,35,27,14,25,25,27,28,,27,9,16,29,28,7,22,4,22,19,23,13,19,,29,29,3,25,16,20,29,23,26,18,27,24,27,17,17,32,33,24,19,3,30,27,26,12,26,21,27,29,25,22,32,2,23,10,22,29,9,27,17,27,29,9,30,,44,13,28,27,11,,27,24,27,20,15,22,,27,,23,
restatedbalance,,1978,41,,44,46,,29,,109,12,84,,20,,,,82,,18,40,,,,48,27,,,37,,72,,36,,35,,,39,,,,,,,17,,,46,23,39,,,,,40,,18,48,,,86,8,,37,,40,,,,,72,,40,26,,,,38,37,44,40,37,18,,42,,35,36,33,,,48,41,30,,,,42,,98,
comprehensiveincomeattributabletoownersoftheparent,,1976,27,3,23,25,15,19,19,23,31,23,,23,27,14,,33,35,27,14,24,25,27,28,,27,9,16,29,29,7,22,8,22,19,23,13,19,,29,29,3,25,16,20,29,23,26,18,27,24,27,17,17,31,33,24,19,3,30,27,26,10,26,21,27,29,25,22,32,2,23,10,22,29,9,27,17,27,29,9,28,,44,9,28,27,11,,27,21,27,20,15,22,,27,,23,
workinprocess,,1955,38,,28,42,33,,,,,,,46,,,,48,,,38,,28,31,42,10,24,8,38,42,42,12,,27,,42,,28,,,32,22,,38,38,38,24,,,,18,28,,9,28,44,12,28,20,3,62,,28,38,34,,28,,40,,,,38,38,,,,38,38,38,42,42,41,,,8,30,24,,13,38,12,,38,38,42,,38,6,42,52
deferredtaxassetsioa,,1948,10,4,3,12,14,30,,,14,32,1,17,37,4,30,36,36,20,2,37,38,38,24,10,5,1,24,12,33,8,20,21,36,18,20,28,31,3,20,12,12,10,19,33,38,20,38,38,20,10,38,3,20,33,42,10,,,34,29,15,37,13,9,33,17,30,,24,2,28,19,38,21,33,19,10,37,24,12,41,10,64,,42,37,,,,13,28,,23,18,1,10,12,40,
cashandcashequivalentssummaryofbusinessresults,,1918,16,13,16,18,16,19,21,20,26,26,6,26,35,36,25,24,48,16,16,16,28,35,21,,16,16,16,21,33,6,16,15,33,39,23,11,16,13,21,36,9,16,16,20,18,16,16,16,16,16,16,16,20,19,24,16,21,,29,16,16,16,16,16,16,21,25,25,24,16,16,16,16,21,16,28,16,16,21,21,29,20,18,28,16,16,16,16,16,28,16,16,16,22,,16,11,21,29
accountspayableother,,1901,10,34,10,20,33,30,42,,14,10,8,28,38,24,30,12,36,10,38,38,38,38,12,10,10,42,10,42,12,12,20,30,20,12,10,8,10,16,12,24,12,38,20,10,12,10,10,10,20,10,10,38,10,14,24,10,10,18,20,10,10,20,34,,10,42,40,12,12,20,38,10,20,12,10,10,10,10,24,24,46,28,18,10,12,10,10,10,10,38,10,10,38,12,8,20,12,42,20
merchandiseandfinishedgoods,,1895,38,30,,36,,,,,,,,46,,,,48,,,,,28,28,42,10,,,38,,42,,,32,,42,,28,8,,42,8,,38,28,38,,38,,,14,28,,,38,44,18,38,20,,62,,38,,34,,38,,30,,12,,28,38,28,,38,38,,38,42,42,45,28,,8,42,24,38,27,38,12,28,38,,42,5,38,,36,52
notesandaccountsreceivabletrade,,1885,28,,,30,23,20,,,,,,32,18,,,36,,,28,,28,28,30,,28,,28,30,30,8,,27,40,,28,20,,,30,34,,28,28,28,30,,,,28,28,28,12,28,38,34,28,25,12,52,,28,28,26,,28,,30,,,28,28,28,28,,28,28,28,28,30,30,32,,46,28,30,28,28,,28,,28,28,28,30,6,28,,30,32
increaseinpropertyplantandequipmentandintangibleassets,,1849,24,,,42,,,28,45,,40,,12,29,16,,36,,28,28,21,,42,24,,24,17,16,,42,,25,,,,33,10,30,,28,48,,32,,24,30,24,,26,16,28,25,28,52,20,48,20,,,46,20,29,16,15,17,,29,24,,34,9,16,28,20,36,35,24,20,32,24,,73,,,21,,20,20,,20,23,28,23,,,,16,,30,40
rawmaterialsandsupplies,,1821,38,6,,42,,,,,,,,46,,,,48,36,,38,20,28,,42,10,24,,38,,42,,,32,,,,28,,,42,10,,38,34,38,18,38,,,18,28,,,38,33,18,28,20,,62,,28,,34,,29,,,,12,,38,38,10,,38,38,,38,42,42,46,28,,8,30,24,,19,38,,,38,38,42,10,38,,42,52
provisionforretirementbenefits,,1802,23,34,23,30,,20,26,29,14,28,,14,,,30,25,,6,23,12,23,,26,10,17,27,22,,25,4,23,12,48,,31,16,25,,11,35,,31,17,27,30,23,23,23,25,3,23,,27,3,26,23,26,,42,22,14,23,19,12,23,,22,,25,,23,23,23,,23,23,23,23,26,26,34,,52,23,27,23,23,,23,16,23,23,,,,23,,23,52
depreciationandamortizationopecf,,1756,16,14,16,18,15,20,18,16,20,20,4,20,28,24,18,20,36,16,16,16,28,28,18,,16,18,16,18,30,4,16,15,26,30,16,12,16,8,18,32,4,16,16,16,18,16,16,16,16,16,16,16,16,20,20,16,15,8,30,16,16,16,14,16,16,18,26,18,20,16,16,16,16,18,16,28,16,16,18,18,20,16,28,28,18,16,16,16,16,28,16,16,16,18,4,16,7,18,30
averagenumberoftemporaryworkers,,1755,10,17,20,30,15,20,15,40,20,,5,,28,22,19,30,60,20,,10,,14,30,,20,20,,30,9,,,18,54,36,37,10,,10,30,30,11,10,20,28,29,10,,20,20,20,20,20,28,20,30,20,24,,40,20,20,20,20,,20,23,20,38,29,7,,10,20,30,20,20,20,20,8,30,46,14,30,20,10,20,,,,,10,,1,30,,20,10,30,20
impairmentlossel,,1745,13,8,2,23,7,2,31,59,22,43,,64,5,2,,53,8,46,19,37,17,43,35,6,,32,,9,6,8,37,13,,,,12,33,,32,57,,2,2,14,12,36,17,18,18,4,13,4,76,6,21,11,6,8,40,14,15,10,,,,29,18,24,41,33,27,8,21,26,6,24,38,23,,14,27,12,4,14,28,13,10,,21,32,32,9,5,14,2,,5,54,
toolsfurnitureandfixturesnet,,1742,38,16,10,18,15,26,12,,,14,2,14,38,14,30,12,36,,10,38,10,10,12,6,20,24,10,24,42,8,10,18,20,24,10,28,10,16,24,22,12,10,20,10,24,20,10,10,16,10,10,10,38,20,12,10,17,2,20,33,10,10,16,20,38,42,40,12,24,19,38,10,10,42,10,10,20,10,22,12,28,28,18,10,42,10,20,10,20,10,,10,20,24,4,6,,42,20
buildingsandstructuresnet,,1724,28,,,30,,20,42,,32,14,,,,3,,36,36,,28,28,28,28,12,,10,,10,30,30,8,18,9,20,12,28,20,28,,12,32,,28,,28,30,10,,,28,28,28,10,28,18,34,10,,,52,28,10,28,8,10,28,30,30,12,36,10,28,28,28,30,18,28,28,28,30,30,18,,46,28,30,28,10,,10,,28,10,,,6,10,,30,
notesandaccountspayabletrade,,1699,28,,,30,,20,,,,,,32,,,,36,,28,28,,28,,30,,28,,28,30,30,,,27,40,,28,20,,,30,,,28,28,28,,,,,28,28,28,3,28,34,34,28,25,12,52,,28,28,26,,28,,30,,,28,28,28,28,,28,28,28,28,30,30,32,,46,28,30,28,28,,28,,28,28,,30,6,28,,30,
currentportionoflongtermloanspayable,,1670,38,,,42,33,10,1,,12,,6,46,,31,12,39,54,38,,28,38,10,6,9,,,38,42,27,5,,9,34,,,,10,16,,33,,34,32,38,42,6,,,,38,38,,38,43,12,,35,2,58,,,38,21,,38,5,40,,48,28,,6,38,12,10,38,13,10,,24,8,3,4,10,,10,,,15,,10,38,36,,6,16,,42,20
lossonretirementofnoncurrentassetsel,,1642,38,20,36,6,3,,16,,16,,,,,5,,48,,6,,30,38,15,40,,,17,38,38,,,38,14,45,20,11,,34,,42,8,6,8,37,38,29,26,,6,6,14,36,4,16,1,46,,6,3,22,37,,38,,26,36,1,,36,37,6,38,,11,41,19,10,2,,42,42,8,,13,,30,38,7,,6,20,27,38,6,11,10,7,2,42,29
interestanddividendsincomereceivedopecfinvcf,,1642,16,8,16,18,15,20,18,,20,20,,20,22,6,18,20,,16,16,,28,28,18,,16,18,16,18,30,4,16,15,26,30,10,12,16,8,18,32,4,16,16,16,18,16,16,16,16,16,16,16,16,18,20,16,15,8,30,16,16,16,14,16,16,18,26,18,20,16,16,16,16,18,16,28,16,16,18,18,20,16,28,28,18,16,16,16,16,28,16,16,16,18,4,16,3,18,30
gainonsalesofnoncurrentassetsei,,1633,19,,22,6,,,7,,,46,,46,,1,4,48,36,23,35,24,38,8,17,9,,1,28,7,42,,36,20,11,,,28,38,,40,12,,32,15,32,14,39,38,21,34,14,32,,20,2,36,,2,2,34,18,10,38,18,31,4,16,40,31,35,10,35,,6,11,9,20,31,23,8,37,21,17,16,,8,14,19,,,6,8,14,,,,,3,28,29
othercomprehensiveincome,,1620,19,,22,26,18,15,11,15,15,26,,23,22,,,25,1,23,20,16,20,14,21,,23,2,19,23,16,6,18,11,19,19,,11,11,,25,16,,22,18,17,28,17,20,19,23,18,24,13,20,29,28,15,16,,36,23,17,16,20,17,19,25,18,21,28,16,21,16,17,16,20,15,14,21,24,18,24,,31,19,14,17,22,,21,21,21,19,18,13,5,18,,21,
constructioninprogress,,1612,38,,20,24,2,10,,12,2,39,,46,1,,30,42,33,20,38,30,38,,8,10,6,,16,18,42,8,13,16,,,,17,10,,23,44,,20,16,23,10,10,38,13,11,12,34,,38,3,24,11,14,,,27,,30,10,12,,,40,14,12,,29,38,,31,,20,38,33,24,24,44,10,26,,30,38,,1,3,19,28,20,2,8,2,20,,42,4
interestexpensesopecf,,1596,16,14,16,18,15,20,18,,19,20,4,20,25,24,5,20,36,16,16,16,28,28,18,,16,18,16,18,30,4,16,15,26,,16,,16,8,18,32,,16,16,16,18,16,16,16,16,16,16,4,16,20,20,16,15,8,20,16,16,16,12,12,16,5,26,18,20,16,9,16,16,18,16,28,16,16,18,18,20,12,28,28,18,16,15,,16,28,16,16,15,18,4,16,,14,30
incometaxesdeferred,,1586,15,7,5,5,6,14,3,42,7,14,3,29,21,23,7,17,33,20,22,14,25,10,31,5,17,21,35,17,16,,12,10,38,12,6,11,11,4,20,23,3,27,19,6,18,15,37,12,18,4,16,14,10,25,40,7,,,28,31,36,11,14,13,16,25,5,6,10,6,21,16,32,28,16,25,13,34,6,14,13,11,51,4,18,15,7,,24,14,16,20,20,19,6,13,6,15,6
provisionfordirectorsretirementbenefits,,1567,38,6,,35,,30,,,,,,32,,,30,36,,28,38,,,,,3,20,,32,,30,,37,,60,,,,38,16,,32,,,,,,,5,,38,,38,,38,,46,,35,,50,27,28,38,,35,38,1,40,42,,,38,10,32,,,,,10,16,42,1,,64,,42,38,2,,38,31,,28,,41,,,,42,52
valuationdifferenceonavailableforsalesecuritiesnetoftaxoci,,1562,20,,22,17,,5,11,15,19,26,,23,18,,,28,,23,20,,23,16,25,,23,1,21,29,19,6,18,11,21,12,,6,22,,25,16,,19,20,18,29,22,22,21,24,18,24,15,20,,28,22,17,,36,23,20,19,11,20,,25,25,21,24,,18,18,17,16,21,23,21,20,24,18,26,,35,16,20,7,21,,21,21,22,19,18,11,5,15,,25,
accruedexpenses,,1558,10,16,10,12,33,10,12,10,14,10,2,14,10,17,30,6,18,10,38,5,,8,12,10,10,12,10,42,12,4,,9,20,12,10,28,38,16,12,24,8,,10,6,42,10,38,10,20,10,10,10,10,,6,10,10,18,72,10,10,10,34,10,10,41,10,12,24,20,38,20,10,12,10,10,10,10,24,12,28,10,36,10,12,38,10,10,20,10,10,10,9,24,4,20,12,42,20
netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,,1511,16,2,11,18,16,1,11,20,26,13,6,26,30,26,24,24,39,7,13,16,28,33,18,,16,14,5,21,33,6,14,2,18,31,5,11,12,9,21,36,9,12,5,18,18,12,15,9,16,12,11,16,18,7,24,11,8,,15,13,8,16,13,10,8,21,23,14,24,2,9,12,16,7,6,28,16,16,21,20,29,20,18,20,16,16,8,3,16,13,16,11,14,22,,14,11,21,26
subtotalopecf,,1436,16,5,12,16,15,1,13,16,20,11,4,20,28,18,18,20,36,8,13,16,25,28,16,,16,16,6,18,30,4,14,5,19,20,8,11,12,6,18,32,4,13,6,15,18,14,15,9,16,13,14,16,15,7,20,11,8,,17,12,8,16,13,11,10,18,24,12,20,3,12,16,16,6,11,28,16,16,18,16,20,16,28,19,18,16,9,3,16,18,16,12,16,18,2,14,7,18,27
accountspayabletrade,,1407,10,34,,12,33,10,42,,32,,,14,38,31,30,12,54,10,10,28,10,38,12,10,10,42,10,12,12,12,,5,20,42,10,8,,16,12,44,12,10,10,10,,10,,,10,,10,24,10,10,12,10,10,6,10,7,10,10,8,,10,41,10,,46,,10,10,10,,10,10,10,10,12,12,13,28,18,10,12,10,10,24,10,,,10,38,12,4,10,9,12,52
totalnumberofissuedsharessummaryofbusinessresults,number_of_shares,1375,10,21,10,15,10,10,15,20,20,20,13,20,14,26,40,15,30,10,10,10,10,14,15,10,10,10,10,15,15,10,10,9,27,18,20,5,10,25,15,15,14,10,10,14,15,10,10,10,10,10,10,10,14,10,15,10,15,,20,10,10,10,10,10,10,15,10,19,15,10,10,10,10,15,10,10,10,10,15,15,23,35,15,10,10,10,10,28,10,10,10,10,10,16,,10,20,15,50
capitalstocksummaryofbusinessresults,,1375,10,21,10,15,10,10,15,20,20,20,13,20,14,26,40,15,30,10,10,10,10,14,15,10,10,10,10,15,15,10,10,9,27,18,20,5,10,25,15,15,14,10,10,14,15,10,10,10,10,10,10,10,14,10,15,10,15,,20,10,10,10,10,10,10,15,10,19,15,10,10,10,10,15,10,10,10,10,15,15,23,35,15,10,10,10,10,28,10,10,10,10,10,16,,10,20,15,50
netcashprovidedbyusedinoperatingactivities,,1373,16,5,12,16,15,1,10,16,20,11,4,20,23,18,16,20,30,8,13,16,26,25,16,,16,16,6,18,30,4,14,2,13,24,2,12,10,6,18,32,4,11,6,15,18,12,15,9,15,13,12,16,14,7,20,11,8,1,15,12,8,16,11,11,7,18,24,12,20,3,9,12,16,6,6,28,16,16,18,16,20,16,28,17,18,16,9,3,16,15,16,12,14,18,2,14,7,18,27
software,,1355,38,16,10,12,33,10,16,20,,14,1,14,38,14,30,6,18,20,10,6,20,38,30,10,10,42,10,24,12,4,,9,20,24,5,28,,16,12,,12,10,10,1,,20,10,10,20,10,10,10,20,10,12,10,17,3,12,10,20,38,8,,7,11,10,12,48,9,10,10,10,12,10,10,20,10,12,12,28,10,18,10,12,10,10,10,7,10,,10,20,24,4,,4,12,20
